Provider Name,Zip Code,Service Area,Service Area (SA),Provider Classification,Programs/Services,Age Group Served,Language/Cultures,Operation,Phone Number,Location 1
DIDI HIRSCH EXCELSIOR HOUSE,90301,8,SA 8 Harbor,RESIDENTIAL,"28 DAY MAXIMUM STAY, CASE MANAGEMENT, CRISIS STABILIATION, INTERACTIVE GROUPS, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PEER ADVOCACY, TRANSITIONAL RESIDENTIAL",ADULT,"ARABIC, CANTONESE, ENGLISH, MANDARIN, OTHER CHINESE, RUSSIAN, SPANISH, TAGALOG, TOISAN",NGA,(310) 412-4191,"1007 MYRTLE AVE.
INGLEWOOD, California 90301
(33.95061079200008, -118.34918193399994)"
MENTAL HEALTH AMERICA OF LA HOMELESS ASSISTANCE,90802,8,SA 8 Harbor,OUTPATIENT,"MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES",ADULT,"CANTONESE, ENGLISH, JAPANESE, KOREAN, MANDARIN, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE",NGA,(562) 437-6717,"456 ELM AVE.
LONG BEACH, California 90802
(33.77270078400005, -118.18761589199994)"
PENNY LANE,90040,7,SA 7 East,OUTPATIENT,"INDIVIDUAL COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, OUTPATIENT, PREVENTION AND EARLY INTERVENTION, PSYCHOLOGICAL TESTING",CHILD/TAY,"CANTONESE, ENGLISH, SPANISH, VIETNAMESE",NGA,(323) 887-1917,"2450 SOUTH ATLANTIC BLVD.
COMMERCE, California 90040
(34.002477301000056, -118.16850299299995)"
ST. FRANCIS MEDICAL CENTER-CHILD COUNSELING CENTER,90280,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, EBP-TF_CBT, FULL SERVICE PARTERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PREVENTION AND EARLY INTERVENTION, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 603-6949; FAX: (310) 566 - 4984,"4390 TWEEDY BLVD.
SOUTH GATE, California 90280
(33.943002455000055, -118.19480159099999)"
BELLFLOWER MEDICAL CENTER,90706,7,SA 7 East,INPATIENT,24 HR ACUTE,ADULT/CHILD,"ENGLISH, TAGALOG",NGA,(562) 925-8355,"9542 EAST ARTESIA BLVD.
BELLFLOWER, California 90706
(33.874722664000046, -118.12937956899998)"
SPECIALIZED FOSTER CARE-COMPTON,90221,6,SA 6 South,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",DMH,(310) 668-6845,"921 EAST COMPTON BLVD.
COMPTON, California 90221
(33.89604794400003, -118.21348922799996)"
PACIFIC CLINICS PORTALS COMMUNITY CONNECTIONS,90062,6,SA 6 South,OUTPATIENT,"PSYCHOLOGICAL TESTING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, CZECH, ENGLISH, FRENCH, GERMAN, HEBREW, IGOROT, ITALIAN, MANDARIN, POLISH, PUNJABI, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE, YORUBA",NGA,(323) 290-4348,"3881 SOUTH WESTERN AVE.
LOS ANGELES, California 90062
(34.01504332300004, -118.30893904299995)"
DIDI HIRSCH-INGLEWOOD,90301,8,SA 8 Harbor,OUTPATIENT,"AB109, CALWORKS, CASE MANAGEMENT, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PEER ADVOCACY AND SUPPORT, PEI, PSYCHOLOGICAL TESTING, WELLNESS CENTER",ADULT/CHILD/OLDER ADULT/TAY,"ENGLISH, GERMAN, HEBREW, HINDI, JAPANESE, KOREAN, MANDARIN, OTHER CHINESE, RUSSIAN, SERBO-CROATIAN, SPANISH, SWEDISH, TAGALOG, THAI, URDU",NGA,(310) 677-7808,"323 NORTH PRAIRIE AVE
INGLEWOOD, California 90301
(33.96611584200008, -118.34399773499996)"
HELPLINE YOUTH COUNSELING INC.,90650,7,SA 7 East,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PREVENTION AND EARLY INTERVENTION",CHILD/TAY,"ENGLISH, HMONG, OTHER CHINESE, SPANISH, TAGALOG",NGA,(562) 864-3722,"12440 FIRESTONE BLVD. STE. 1000
NORWALK, California 90650
(33.90542521300006, -118.06847340899998)"
FAMILY & YOUTH STARS PROGRAM,90703,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, FAMILY COUNSELING, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(562) 865-6444,"10929 SOUTH ST. STE. 214-B
CERRITOS, California 90703
(33.85836832800004, -118.10144940999999)"
BAYFRONT YOUTH AND FAMILY SERVICES,90804,8,SA 8 Harbor,RESIDENTIAL,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH, TAGALOG",NGA,(562) 719-9256,"4151 FOUNTAIN ST.
LONG BEACH, California 90804
(33.78351840600004, -118.14363905599998)"
AMERICAN INDIAN COUNSELING CENTER,90703,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, DUAL DIAGNOSIS, FCCS, FSP, GROUP COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ARMENIAN, BURMESE, ENGLISH, FARSI, GERMAN, HINDI, KOREAN, MIEN, PUNJABI, SPANISH, TAGALOG, URDU",DMH,(562) 402-0677,"17707 SOUTH STUDEBAKER RD. STE. 208
CERRITOS, California 90703
(33.86985542600007, -118.09908147099998)"
THE VILLAGE FAMILY SERVICES,90255,7,SA 7 East,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIORAL SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(818) 755-8786,"2677 ZOE AVE. STE. 110
HUNTINGTON PARK, California 90255
(33.979288144000066, -118.22309686299997)"
BIENVENIDOS-EAST LOS ANGELES,90022,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY HEALTH SERVICES, PARENT EDUCATION, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"ARMENIAN, CALO, CEBUANO, ENGLISH, FARSI, FRENCH, JAPANESE, KOREAN, MANDARIN, SPANISH, TAGALOG",NGA,(323) 268-5442,"501 SOUTH ATLANTIC BLVD.
LOS ANGELES, California 90022
(34.02654962100007, -118.15546031599996)"
EOB CRISIS HOMELESS RIO HONDA,90703,7,SA 7 East,OUTPATIENT,"CRISIS INTERVENTION, MENTAL HEALTH SERVICES",ADULT/CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FARSI, HEBREW, IIOCANO, JAPANESE, KOREAN, MANDARIN, RUSSIAN, SPANISH, TAGALOG, THAI, UKRANIAN, VIETNAMESE",DMH,(562) 467-0209,"17707 SOUTH STUDEBAKER RD.
CERRITOS, California 90703
(33.86985542600007, -118.09908147099998)"
TESSIE CLEVELAND COMMUNITY SERVICES,90001,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,ENGLISH,NGA,(323) 586-7333,"7813 SOUTH CENTRAL AVE.
LOS ANGELES, California 90001
(33.96793190600005, -118.25646226699996)"
HATHAWAY SYCAMORES CHILD FAMILY SERVICES,90018,6,SA 6 South,OUTPATIENT,"FSP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, GERMAN, IIOCANO, PUNJABI, SERBO - CROATIAN, SPANISH, TAGALOG, VIETNAMESE",NGA,(323) 733-0322,"1968 WEST ADAMS BLVD. STE. 101
LOS ANGELES, California 90018
(34.03266362800008, -118.30801897099997)"
STEP OUT,90222,6,SA 6 South,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,ENGLISH,NGA,(310) 637-0917,"2010 EAST EL SEGUNDO BLVD.
COMPTON, California 90222
(33.916112627000075, -118.23689898499998)"
SCHARP COMPTON,90262,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, IMHT, MEDICATION SUPPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",NGA,(310) 537-9780,"2620 INDUSTRY WAY STE. C
LYNWOOD, California 90262
(33.923663530000056, -118.22487607699998)"
LOS ANGELES CHILD GUIDANCE CLINIC,90043,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, COMMUNITY OUTREACH, COMMUNITY SUPPORT, MEDICATION SUPPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"CANTONESE, ENGLISH, FARSI, FRENCH, JAPANESE, MANDARIN, SPANISH, TAIWANESE",NGA,(323) 766-2360,"4401 CRENSHAW BLVD. STE. 300
LOS ANGELES, California 90043
(34.00358003500003, -118.331971453)"
ST. FRANCIS MEDICAL CENTER,90262,6,SA 6 South,INPATIENT,"24 HR ACUTE, CASE MANAGEMENT SERVICES, EBP-PP, EBP-TF_CBT, MEDICATION SUPPORT, PSYCHOLOGICAL TESTING, SCHOOL BASED SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 900-8490,"3630 EAST IMPERIAL HIGHWAY
LYNWOOD, California 90262
(33.93085492000006, -118.20414767899996)"
FORENSIC INPATIENT PROGRAM,90012,6,SA 6 South,FORENSIC,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ARABIC, BENGALI, CAMBODIAN, CANTONESE, ENGLISH, FARSI, FRENCH, GERMAN, HINDI, ITALIAN, KOREAN, MANDARIN, NORWEGIAN, PORTUGESE, ROMANIAN, RUSSIAN, SINGHALESE, TELUGU",DMH,(213) 893-5400,"CO TWIN TOWERS 450 BAUCHET ST.
LOS ANGELES, California 90012
(34.059163805000026, -118.23123091099995)"
SCHARP CHILD OUTPATIENT SERVICES,90242,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SCHOOL BASED MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 667-4070,"2594 INDUSTRY WAY
LYNWOOD, California 90242
(33.92509362000004, -118.22761516599996)"
PEJ EXODUS WELLNESS CENTER,90059,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ENGLISH, SPANISH",NGA,(323) 312-0145,"11905 SOUTH CENTRAL AVE. STE. 303
LOS ANGELES, California 90059
(33.92451045700005, -118.25437218699994)"
LOS ANGELES CHILD GUIDANCE CENTER - BHS LINCOLN HEIGHTS,90007,6,SA 6 South,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"CANTONESE, ENGLISH, FARSI, ITALIAN, MANDARIN, SPANISH",NGA,(323) 221-1746,"3787 SOUTH VERMONT AVE.
LOS ANGELES, California 90007
(34.01751112200003, -118.29157245299996)"
HOMES FOR LIFE FOUNDATION-223R,90501,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ENGLISH, SPANISH",NGA,(310) 337-7417,"1435 WEST 223RD ST.
TORRANCE, California 90501
(33.82455807500003, -118.30286020499994)"
FACTS PROGRAM,90731,8,SA 8 Harbor,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MENTAL HEALTH SERVICES, MEDICATION SUPPORT",OLDER ADULT,"CANTONESE, ENGLISH, OTHER CHINESE, SPANISH",DMH,(310) 519-6222; (213) 351-7284 URGENT,"150 WEST 7TH ST. 2ND FL.
SAN PEDRO, California 90731
(33.73785808700006, -118.28100718099995)"
THE WHOLE CHILD,90603,7,SA 7 East,OUTPATIENT,"FAMILY COUNSELING, FCCS, FSP, GROUP COUNSELING, INDIVIDUAL COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, OUTPATIENT, PREVENTION AND EARLY INTERVENTION, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, CANTONESE, ENGLISH, FRENCH, HINDI, MANDARIN, SPANISH, TAGALOG, YIDDISH",NGA,(562) 692-0383,"10155 COLIMA RD.
WHITTIER, California 90603
(33.94349890900003, -118.01069454199995)"
DIDI HIRSCH TAPER CENTER,90044,6,SA 6 South,OUTPATIENT,"CALWORKS, CASE MANAGEMENT, CRISIS INTERVENTION, EBP-CORS, EBP-CPT, EBP-PCIT, EBP-PP, EBP-SS, EBP-TF_CBT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(323) 778-9593,"1328 WEST MANCHESTER AVE.
LOS ANGELES, California 90044
(33.959983452000074, -118.29938953299995)"
SPECIALIZED FOSTER CARE-VERMONT,90044,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",DMH,(323) 965-6176,"8300 SOUTH VERMONT AVE. 4TH FL.
LOS ANGELES, California 90044
(33.962960949000035, -118.29146644299999)"
SCHARP CHILD DAY TREATMENT,90018,6,SA 6 South,OUTPATIENT,"COMMUNITY OUTREACH, CRISIS INTERVENTION, DAY TREATMENT INTENSIVE, MEDICATION SUPPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(323) 733-8600,"3320 WEST ADAMS BLVD.
LOS ANGELES, California 90018
(34.03259333900007, -118.32099942599996)"
ALAFIA MENTAL HEALTH INSTITUTION,90008,6,SA 6 South,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",NGA,(323) 293-8771,"3756 SANTA ROSALIA DR. STE. 62
LOS ANGELES, California 90008
(34.00938523100007, -118.33915708299998)"
TARZANA TREATMENT CENTER,90805,8,SA 8 Harbor,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT,"ENGLISH, SPANISH",NGA,(562) 428-4111,"5190 ATLANTIC AVE.
LONG BEACH, California 90805
(33.850719609000066, -118.18482047499998)"
COMPTON MENTAL HEALTH CENTER,90221,6,SA 6 South,OUTPATIENT,"CRISIS INTERVENTION, FSP, MENTAL HEALTH SERVICES, MEDICATION SUPPORT, SPECIALIZED FOSTER CARE",ADULT/CHILD/TAY,"CANTONESE, ENGLISH, MANDARIN, SPANISH, TAGALOG, VISAYAN",DMH,(310) 885-2100,"921 EAST COMPTON BLVD.
COMPTON, California 90221
(33.89604794400003, -118.21348922799996)"
SHIELDS FOR FAMILIES,90059,6,SA 6 South,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, DAY TREATMENT INTENSIVE, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, SPECIALIZED FOSTER CARE",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 668-8311,"1721 EAST 120TH ST. TRAILER #6
LOS ANGELES, California 90059
(33.92461271800005, -118.24286234499999)"
SHIELDS FOR FAMILIES KAY STREET,90221,6,SA 6 South,OUTPATIENT,"COMMUNITY OUTREACH, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 898-2450,"1500 EAST KAY ST.
COMPTON, California 90221
(33.90428483200003, -118.20702808599998)"
LA PAZ,90723,6,SA 6 South,OUTPATIENT,MENTAL HEALTH SERVICES,ADULT,"CAMBODIAN, CANTONESE, DUTCH, ENGLISH, GERMAN, HEBREW, IIOCANO, SAMOAN, SPANISH, TAGALOG, THAI, VIETNAMESE",NGA,(562) 633-5111,"8835 VANS ST.
PARAMOUNT, California 90723
(33.89195849500004, -118.14342934099994)"
SSG-INTEGRATED CARE SYSTEM YOUTH PROJECT,90037,6,SA 6 South,OUTPATIENT,"FIELD CAPABLE CLINICAL SERVICES, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"CANTONESE, ENGLISH, IIONGOT, KOREAN, MANDARIN, OTHER CHINESE, PORTUGUESE, SPANISH, TAGALOG, VIETNAMESE",NGA,(323) 948-0444,"5715 SOUTH BROADWAY
LOS ANGELES, California 90037
(33.99032072800003, -118.27833273499999)"
EXCEPTIONAL CHILDREN'S  FOUNDATION,90230,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 737-9393,"5350 MACHADO RD.
CULVER CITY, California 90230
(33.997725685000034, -118.39616988899996)"
EXODUS RECOVERY INC. OP,90232,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"BULGARIAN, CANTONESE, CZECH, ENGLISH, FARSI, FOKIENESE, FRENCH, GERMAN, HINDI, HUNGARIAN, ILONGOT, JAPANESE, ROMANIAN, RUSSIAN, SPANISH, TAGALOG, VIETNAMESE",NGA,(310) 253-9494,"3828 HUGHES AVE.
CULVER CITY, California 90232
(34.02244980200004, -118.39809514499996)"
UCLA TIES FOR ADOPTION,90024,5,SA 5 West,OUTPATIENT,"INFANT MENTAL HEALTH, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING, THERAPEUTIC BEHAVIOR SERVICES",CHILD/TAY,"ENGLISH, SPANISH",NGA,(310) 825-6110,"1000 VETERAN AVE. BOX 714222
LOS ANGELES, California 90024
(34.06137353300005, -118.45063647099994)"
TESSIE CLEVELAND COMMUNITY SERVICES,90001,6,SA 6 South,OUTPATIENT,"CRISIS INTERVENTION, DAY TREATMENT INTENSIVE, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, SPECIALIZED FOSTER CARE",CHILD/TAY,"ARMENIAN, BENGALI, ENGLISH, FARSI, IBO, KOREAN, PUNJABI, Q'ANJOB'AL, SPANISH, TAGALOG, URDU",NGA,(323) 586-7333,"8019 COMPTON AVE.
LOS ANGELES, California 90001
(33.966374941000026, -118.24770828799996)"
UNITED AMERICAN INDIAN INC.,90017,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, KOREAN, SPANISH, TAIWANESE",NGA,(213) 202-3970,"1125 WEST SIXTH ST.
LOS ANGELES, California 90017
(34.05439653800005, -118.262839843)"
LAMP COMMUNITY WELLNESS CENTER,90013,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, FRENCH, SPANISH",NGA,(213) 537-0822,"619 EAST 5TH ST.
LOS ANGELES, California 90013
(34.043418667000026, -118.24252840999998)"
EDMUND D EDELMAN MENTAL HEALTH CENTER-ADULT,90064,5,SA 5 West,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, ADULT- FULL SERVICE PARTNERSHIP, OLDER ADULT-FIELD CAPABLE CLINICAL SERVICES, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, WELLNESS CENTER",CHILD/TAY,"ARMENIAN, ENGLISH, FRENCH, KOREAN, RUSSIAN, SPANISH",DMH,(310) 966-6500,"11080 WEST OLYMPIC BLVD. 4TH FL.
LOS ANGELES, California 90064
(34.040395439000065, -118.43754581799999)"
PACIFIC CLINICS-APCTC LA,90057,4,SA 4 Metro,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT/CHILD/TAY,"CANTONESE, ENGLISH, GERMAN, JAPANESE, KOREAN, MANDARIN, SAMOAN, SPANISH, TAGALOG, TURKISH, VIETNAMESE",NGA,(213) 252-2100,"520 SOUTH LAFAYETTE PARK PLC. STE. 300
LOS ANGELES, California 90057
(34.06382363300003, -118.28266300999996)"
KECK HOSPITAL OF USC,90033,4,SA 4 Metro,INPATIENT,24 HR ACUTE,ADULT,ENGLISH,FFS,(323) 442-8500,"1500 SAN PABLO ST.
LOS ANGELES, California 90033
(34.06202031200007, -118.20320856899997)"
PENNY LANE: COMMERCE,90040,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION,  FOSTER ADOPTION AND FAMILY PRESERVATION, INDIVIDUAL AND FAMILY COUSELLING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, MULTIDICIPLINARY ASSESSMENT TEAM, PEI, PSYCHOLOGICAL TESTING SCHOOL-BASED MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",NGA,(323) 318 -9960 ; FAX: (323) 780 - 3211,"5628 E. SLAUSON AVE.
COMMERCE, California 90040
(33.98593283900004, -118.16370258699999)"
CHCADA,90201,7,SA 7 East,OUTPATIENT,"CRISIS INTERVENTION, FIELD CAPABLE CLINICAL SERVICES, FULL SERVICE PARTNERSHIPS, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"ENGLISH, SPANISH",NGA,(323) 222-4591,"5101 EAST FLORENCE AVE. STE. 9
BELL, California 90201
(33.96902771200007, -118.17556648099998)"
RIO HONDO COMMUNITY MENTAL HEALTH CENTER,90703,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, CRISIS INTERVENTION, DUAL DIAGNOSIS, FCCS, GROUP COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PREVENTION AND EARLY INTERVENTION, SPECIALIZED FOSTER CARE",ADULT/OLDER ADULT,"CANTONESE, ENGLISH, GREEK, KOREAN, HINDI, MANDARIN, MIEN, PUNJABI, SPANISH, TAIWAINESE, TAGALOG, URDU, VIETNAMESE",DMH,(562) 402-0688,"17707 SOUTH STUDEBAKER RD.
CERRITOS, California 90703
(33.86985542600007, -118.09908147099998)"
CHCADA,90660,7,SA 7 East,OUTPATIENT,"MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, SPANISH",NGA,(323) 222-4591,"9033 WASHINGTON BLVD.
PICO RIVERA, California 90660
(33.982525542000076, -118.09582627499998)"
ENKI-MARGARITA MENDEZ YOUTH AND FAMILY SERVICES,90022,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, FCCS, FSP, GROUP THERAPY, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, SPECIALIZED FOSTER CARE",CHILD/TAY,ENGLISH,NGA,(323) 832-9765,"1000 GOODRICH BLVD.
COMMERCE, California 90022
(34.01756412700007, -118.15479314399994)"
COMMUNITY FAMILY GUIDANCE CENTER,90241,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH,CRISIS INTERVENTION, FAMILY COUNSELING, INDIVIDUAL COUNSELING, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PEI",CHILD/TAY,"ENGLISH, SPANISH, TAGALOG, URDU",NGA,(562) 904-4815,"8320 IOWA ST. STE. 201
DOWNEY, California 90241
(33.93755472200007, -118.13426397999996)"
PROVIDENCE COMMUNITY SERVICES,90650,7,SA 7 East,OUTPATIENT,"FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ENGLISH, FRENCH, SPANISH",NGA,(562) 207-4272,"11745 FIRESTONE BLVD. STE. 102
NORWALK, California 90650
(33.91334599800007, -118.08280664299997)"
ANNE SIPPI CLINIC COMMUNITY SERVICES,90670,7,SA 7 East,OUTPATIENT,"CRISIS INTERVENTION, MEDICATION SUPPORT, MENTAL HEALTH SERVICES",ADULT,"CANTONESE, ENGLISH, HINDI, SPANISH",NGA,(562) 906-1335,"10012 NORWALK BLVD. STE. 110
SANTA FE SPRINGS, California 90670
(33.947134461000076, -118.07268471599997)"
CLONTARF MANOR ARTESIA,90701,7,SA 7 East,OUTPATIENT,"FIELD CAPABLE CLINICAL SERVICES, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",ADULT/TAY,"ENGLISH, SINGHALESE, SPANISH, TAGALOG",NGA,(562) 860-2479,"18432 GRIDLEY RD.
ARTESIA, California 90701
(33.86376100700005, -118.09082652399997)"
CEDAR STREET HOMES,90650,7,SA 7 East,TRANSITIONAL HOUSING,"CASE MANAGEMENT, CRISIS INTERVENTION, MENTAL HEALTH SERVICES",ADULT,"CANTONESE, ENGLISH, MANDARIN, SPANISH, TAIWANESE",NGA,(562) 207-9660,"11401 BLOOMFIELD AVE. BLDG. 30
NORWALK, California 90650
(33.92416132000005, -118.06398949999999)"
COLLEGE HOSPITAL,90703,7,SA 7 East,OUTPATIENT,"24 HR ACUTE, DAY TREATMENT, MENTAL HEALTH SERVICES",ADULT/TAY,"CANTONESE, ENGLISH, FARSI, ITALIAN, KOREAN, MANDARIN, SPANISH, TAIWANESE, TOISAN",NGA,(562) 924-9581,"10802 COLLEGE PLC.
CERRITOS, California 90703
(33.885202667000044, -118.10263971699999)"
ENKI EAST LOS ANGELES MHS-COMMERCE,90022,7,SA 7 East,OUTPATIENT,"CASE MANAGEMENT, COMMUNITY OUTREACH, CRISIS INTERVENTION, FCCS, FSP, MEDICATION SUPPORT, MENTAL HEALTH PROMOTION, MENTAL HEALTH SERVICES, PREVENTION AND EARLY INTERVENTION",ADULT/OLDER ADULT/TAY,"ENGLISH, HEBREW, ITALIAN, RUSSIAN, SINGHALESE, SPANISH",NGA,(866) 227-1302,"1436 GOODRICH BLVD.
COMMERCE, California 90022
(34.011454729000036, -118.15839287299997)"
HATHAWAY SYCAMORES,90040,7,SA 7 East,OUTPATIENT,"FIELD CAPABLE CLINICAL SERVICES, FULL SERVICE PARTNERSHIP, MEDICATION SUPPORT, MENTAL HEALTH SERVICES, PSYCHOLOGICAL TESTING",CHILD/TAY,"ARMENIAN, ENGLISH, KOREAN, MANDARIN, RUSSIAN, SPANISH, TAGALOG",NGA,(626) 395-7100,"5701 SOUTH EASTERN AVE.
COMMERCE, California 90040
(33.98662536000006, -118.16204214899994)"
